job_name,result,pp_loc,opsem_loc,bmc_circuit_size,bmc_dag_size,opsem.isderef.not.solve,opsem.isderef.solve,pp.isderef.not.solve,pp.isderef.solve,opsem_crab_time,opsem_crab_solve_time,pp_crab_solve_time,pp_crab_time,bmc_time,bmc_solve_time,cda_time,gssa_time,opsem_assert_time,opsem_simp_time,seahorn_total_time
byte_cursor_advance,TRUE,1198,882,195,786,n/a,39,n/a,n/a,0.02,0.01,n/a,n/a,0.11,0.07,n/a,n/a,0.01,0.01,0.12
byte_cursor_advance_nospec,TRUE,1276,950,213,880,2,41,n/a,n/a,0.02,0.01,n/a,n/a,0.20,0.15,n/a,n/a,0.01,0.01,0.21
byte_cursor_compare_lexical,TRUE,2461,1562,526,2249,n/a,110,n/a,n/a,0.14,0.05,n/a,n/a,1.06,0.80,n/a,n/a,0.01,0.02,1.08
byte_cursor_compare_lookup,TRUE,2180,2398,988,4024,n/a,211,n/a,n/a,0.15,0.09,n/a,n/a,1.78,1.48,n/a,n/a,0.01,0.02,1.83
byte_cursor_eq,TRUE,1886,1482,474,2049,n/a,94,n/a,n/a,0.10,0.04,n/a,n/a,1.03,0.83,n/a,n/a,0.01,0.03,1.06
byte_cursor_eq_byte_buf,TRUE,2269,1765,601,2495,n/a,121,n/a,n/a,0.16,0.09,n/a,n/a,0.85,0.53,n/a,n/a,0.01,0.03,0.90
byte_cursor_eq_byte_buf_ignore_case,TRUE,2042,1729,562,3910,n/a,115,n/a,n/a,0.11,0.04,n/a,n/a,1.12,0.92,n/a,n/a,0.01,0.03,1.16
byte_cursor_eq_c_str,TRUE,1603,720,109,619,n/a,14,n/a,n/a,0.01,0.01,n/a,n/a,0.08,0.06,n/a,n/a,n/a,0.01,0.10
byte_cursor_eq_c_str_ignore_case,TRUE,1513,720,109,619,n/a,14,n/a,n/a,0.01,0.01,n/a,n/a,0.09,0.06,n/a,n/a,n/a,0.01,0.11
byte_cursor_eq_ignore_case,TRUE,1659,1416,430,3368,n/a,88,n/a,n/a,0.06,0.03,n/a,n/a,1.19,1.07,n/a,n/a,0.01,0.03,1.22
byte_cursor_from_array,TRUE,765,579,65,254,n/a,10,n/a,n/a,0.01,0.01,n/a,n/a,0.02,0.01,n/a,n/a,0.01,0.01,0.03
byte_cursor_from_buf,TRUE,1689,1214,320,1199,n/a,70,n/a,n/a,0.03,0.02,n/a,n/a,0.08,0.02,n/a,n/a,0.01,0.01,0.10
byte_cursor_from_c_str,TRUE,1655,1476,339,1499,n/a,44,n/a,n/a,0.01,0.01,n/a,n/a,0.33,0.29,n/a,n/a,0.01,0.01,0.35
byte_cursor_from_string,TRUE,1015,774,108,586,2,21,n/a,n/a,0.01,0.01,n/a,n/a,0.06,0.03,n/a,n/a,0.01,0.01,0.08
