job_name,result,pp_loc,opsem_loc,bmc_circuit_size,bmc_dag_size,opsem.isderef.not.solve,opsem.isderef.solve,pp.isderef.not.solve,pp.isderef.solve,opsem_crab_time,opsem_crab_solve_time,pp_crab_solve_time,pp_crab_time,bmc_time,bmc_solve_time,cda_time,gssa_time,opsem_assert_time,opsem_simp_time,seahorn_total_time
priority_queue_capacity,TRUE,3521,1621,156,715,n/a,6,6,3,0.03,0.01,0.08,0.55,0.27,0.21,n/a,n/a,0.01,0.01,0.29
priority_queue_top,TRUE,3661,1666,160,738,n/a,6,6,3,0.03,0.01,0.07,0.43,0.26,0.20,n/a,n/a,0.01,0.01,0.28
priority_queue_init_static,TRUE,2080,884,23,108,n/a,n/a,n/a,2,0.01,0.01,0.02,0.10,0.06,0.05,n/a,n/a,0.01,0.01,0.07
priority_queue_init_dynamic,TRUE,2486,951,29,133,n/a,n/a,n/a,6,0.01,0.00,0.03,0.14,0.05,0.03,n/a,n/a,0.01,0.01,0.06
priority_queue_clean_up,TRUE,2022,1162,63,314,n/a,1,2,2,0.01,0.01,0.02,0.13,0.03,0.01,n/a,n/a,n/a,0.01,0.04
ring_buffer_clean_up,TRUE,1334,880,32,164,n/a,n/a,n/a,n/a,0.01,0.01,n/a,0.05,0.03,0.01,n/a,n/a,0.01,0.01,0.04
ring_buffer_init,TRUE,1253,743,18,83,n/a,n/a,n/a,n/a,0.01,0.01,n/a,0.06,0.04,0.02,n/a,n/a,0.01,0.01,0.04
priority_queue_s_swap,TRUE,4252,2463,400,2553,24,19,39,4,0.15,0.04,0.12,0.56,11.37,10.98,n/a,n/a,0.01,0.13,11.39
priority_queue_s_sift_up,n/a,4903,6277,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
priority_queue_s_sift_down,n/a,5104,6400,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
priority_queue_s_sift_either,TRUE,6268,3311,579,3762,37,36,61,8,0.10,0.03,0.25,2.12,1.40,1.10,n/a,n/a,0.01,0.14,1.44
priority_queue_s_remove_node,TRUE,5890,2635,351,3001,25,20,41,7,0.08,0.03,0.18,1.16,1.48,1.21,n/a,n/a,0.01,0.13,1.52
priority_queue_remove,TRUE,7218,2201,228,983,4,2,6,10,0.04,0.01,0.18,1.75,0.93,0.85,n/a,n/a,0.01,0.02,0.96
priority_queue_pop,TRUE,7113,2241,255,1052,4,2,6,10,0.05,0.01,0.18,1.45,0.71,0.63,n/a,n/a,0.01,0.02,0.74
priority_queue_push,TRUE,5094,2553,302,2420,9,8,17,4,0.06,0.02,0.11,0.76,1.95,1.42,n/a,n/a,0.01,0.41,1.97
priority_queue_push_ref,TRUE,5115,2569,302,2432,9,8,17,4,0.07,0.02,0.10,0.57,2.09,1.49,n/a,n/a,0.01,0.49,2.12
ring_buffer_release,TRUE,4512,2585,165,663,n/a,n/a,n/a,n/a,0.11,0.01,n/a,0.63,5.47,5.31,n/a,n/a,0.01,0.02,5.50
ring_buffer_acquire,TRUE,5754,2890,218,933,n/a,n/a,n/a,n/a,0.09,0.01,n/a,0.84,28.79,28.67,n/a,n/a,0.01,0.02,28.82
ring_buffer_buf_belongs_to_pool,TRUE,3626,1807,128,582,n/a,n/a,n/a,n/a,0.03,0.01,n/a,0.38,13.60,13.54,n/a,n/a,0.01,0.01,13.62
ring_buffer_acquire_up_to,TRUE,5865,2858,208,919,n/a,n/a,n/a,n/a,0.07,0.01,n/a,0.47,3.45,3.35,n/a,n/a,0.01,0.02,3.48
hash_table_foreach_deep_loose,TRUE,2450,3618,1357,13188,157,76,46,3,0.80,0.21,0.10,0.89,68.63,64.17,n/a,n/a,0.01,3.01,68.73
hash_table_foreach_deep_precise,TRUE,2600,3822,1428,13457,159,88,52,3,0.63,0.20,0.13,0.82,34.31,30.14,n/a,n/a,0.01,2.90,34.41
huffman_test_transitive,TRUE,4982,1766,86,433,4,2,14,62,0.02,0.01,0.15,1.61,0.06,0.01,n/a,n/a,0.01,0.02,0.08
huffman_test_transitive_chunked,TRUE,5271,2310,206,1319,8,4,68,8,0.04,0.01,0.33,43.91,0.15,0.04,n/a,n/a,0.01,0.04,0.18
profile_collection_new_from_buffer,n/a,27725,2040,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
pem_objects_init_from_file_contents,TRUE,16106,2244,217,1057,n/a,37,310,49,0.01,0.01,3.19,37.71,0.05,0.01,n/a,n/a,0.01,0.01,0.06
sanitize_pem,TRUE,6013,1420,143,701,1,15,51,28,0.02,0.01,0.21,1.37,0.08,0.03,n/a,n/a,0.01,0.01,0.09
input_stream_from_cursor,TRUE,3072,2007,98,521,8,4,11,43,0.05,0.01,0.10,0.63,0.18,0.08,n/a,n/a,0.01,0.03,0.22
der,TRUE,24328,10613,2168,50728,326,182,424,525,0.84,0.29,2.85,6.88,115.52,71.39,n/a,n/a,0.01,36.98,115.82
ecc,TRUE,14223,5513,714,4317,n/a,106,185,196,0.02,0.01,1.85,6.32,0.17,0.01,n/a,n/a,0.01,0.07,0.22
